GCAM_region_ID,Land_Type,GLU,soil_c,veg_c,mature age
11,RockIceDesert,GLU085,2.642848209,0.090906939,50
11,RockIceDesert,GLU089,8.948266861,0.013792826,50
11,RockIceDesert,GLU092,8.5,0,50
11,RockIceDesert,GLU106,13.53467574,0.040277406,50
11,RockIceDesert,GLU110,9.36402459,0.038624887,50
11,RockIceDesert,GLU112,3.8,0.1,50
11,RockIceDesert,GLU125,0,0,35
11,RockIceDesert,GLU127,8.243160266,0.005464675,50
11,Shrubland,GLU042,8.999509663,0.600787986,49.98953948
11,Shrubland,GLU043,16.01345727,3.088785607,49.85645577
11,Shrubland,GLU056,13,0.900158021,50
11,Shrubland,GLU066,8.58090753,0.879045376,24.70547952
11,Shrubland,GLU068,15,4.527131959,50
11,Shrubland,GLU077,14,0.989698523,50
11,Shrubland,GLU078,8,1.30567958,43.96349311
11,Shrubland,GLU079,7.02211258,0.600608942,49.76413248
11,Shrubland,GLU085,10.98144124,0.58895832,49.92576495
11,Shrubland,GLU089,20,1.2,50
11,Shrubland,GLU106,15.16690929,9.419596805,19.33527436
11,Shrubland,GLU108,10.97026862,8.82001789,18.31713469
11,Shrubland,GLU109,11,11.8,18
11,Shrubland,GLU110,20,4.719646998,50
11,Shrubland,GLU112,10,9.60366837,18
11,Shrubland,GLU124,8,5.559774669,30.80079237
11,Shrubland,GLU125,13.96886775,11.88325405,18.49811607
11,Shrubland,GLU127,13.0759657,11.52023602,18.60772559
11,Shrubland,GLU137,16.38364664,10.65988928,33.58629917
11,Tundra,GLU042,14,1.2,50
11,Tundra,GLU043,17,1.3,50
11,Tundra,GLU056,22,4.299794167,50
11,Tundra,GLU058,10,0.2,50
11,Tundra,GLU066,7,0.6,50
11,Tundra,GLU068,17,7.999578527,50
11,Tundra,GLU076,24,8.8,50
11,Tundra,GLU077,5,0.2,50
11,Tundra,GLU079,14,1.1,50
11,Tundra,GLU085,14,0.400065839,50
11,Tundra,GLU089,18,0.300598087,50
11,Tundra,GLU092,11,1.07254775,50
11,Tundra,GLU106,13,1.638667013,50
11,Tundra,GLU110,14,0.717123838,50
11,Tundra,GLU125,13,2,50
11,Tundra,GLU127,13,1.6,50
11,Tundra,GLU137,20,4.633450412,50
12,Forest,GLU020,22.5153025,9.724187739,50
12,Forest,GLU021,21,10.7,50
12,Forest,GLU022,21.97005012,9.378093989,50
12,Forest,GLU025,22.7939917,9.886319478,50
12,Forest,GLU029,11.93882924,9.65371822,50
12,Forest,GLU030,13.77015542,10.20133516,50
12,Forest,GLU031,11.83370455,10.02554213,50
12,Forest,GLU033,15.15224772,10.31730779,50
12,Forest,GLU035,18.88291255,11.42532938,50
12,Forest,GLU049,13,9,50
12,Forest,GLU054,12.47864819,9.693797484,50
12,Forest,GLU055,11.32744812,9.825577437,50
12,Forest,GLU075,6,4.095027517,50
12,Grassland,GLU020,18.26292615,3.192954016,10
12,Grassland,GLU022,17.0757418,3.313029827,10
12,Grassland,GLU025,18.42223917,2.999651521,10
12,Grassland,GLU029,11.92556429,3.229674268,10
